motherboardId,partId,socket,formFactor,chipset,memoryMax,memoryType,memorySlot,color,pcieSixteenSlot,pcieEightSlot,pcieFourSlot,pcieOneSlot,pcieSlot,sataSlot,mTwoSlot,onboardEthernet,onboardVideo,usbTwoHeader,usbTwoHeaderSinglePort,usbThreeTwoGenOneHeader,usbThreeTwoGenTwoHeader,usbThreeTwoGenTwoByTwoHeader,wirelessNetworking,raidSupport,backConnectors,createdAt,updatedAt
55,176,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,2,0,1,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
56,177,LGA1700,ITX,Intel B760,96,DDR5,2,Black,1,0,0,0,0,4,2,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
57,178,LGA1700,ATX,Intel Z790,192,DDR5,4,Black / Gray,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
58,179,LGA1700,ATX,Intel B760,192,DDR5,4,Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
59,180,LGA1700,ATX,Intel Z790,192,DDR5,4,Black / Silver,4,0,0,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,2,2,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
60,181,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,2,0,0,1,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
61,182,LGA1700,MATX,Intel B760,192,DDR5,4,Black / Orange,1,0,1,1,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
62,183,LGA1700,ATX,Intel B760,192,DDR5,4,Silver / Black,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Intel),Depends on CPU,1,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
63,184,LGA1700,ATX,Intel B760,192,DDR5,4,Black / Silver,2,0,0,2,0,4,3,1 x 2.5 Gb/s (Realtek),Depends on CPU,2,0,1,1,0,None,0,0,11/25/2024 21:07,11/25/2024 21:07
64,185,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,2,0,0,1,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
65,186,LGA1700,ATX,Intel Z790,192,DDR5,4,Silver / Black,4,0,0,1,0,4,3,1 x 1 Gb/s (Realtek),Depends on CPU,2,0,2,2,0,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
66,187,LGA1700,ATX,Intel Z690,192,DDR5,4,Black,3,0,0,1,0,6,3,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,1,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
67,188,LGA1700,MATX,Intel B660,128,DDR4,4,Silver / Black,3,0,0,0,0,4,2,1 x 1 Gb/s (Intel),Depends on CPU,2,0,2,2,0,Wi-Fi 6,0,0,11/25/2024 21:07,11/25/2024 21:07
68,189,LGA1700,ATX,Intel Z790,192,DDR5,4,Black,1,0,1,0,0,4,5,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,2,2,1,Wi-Fi 7,0,0,11/25/2024 21:07,11/25/2024 21:07
69,190,LGA1700,ATX,Intel Z790,192,DDR5,4,Black / Copper,3,0,0,0,0,8,4,1 x 10 Gb/s (Marvell AQtion),Depends on CPU,2,0,1,1,1,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
70,191,LGA1700,ATX,Intel Z790,192,DDR5,4,Black / Silver,2,0,1,2,0,4,4,1 x 2.5 Gb/s (Intel),Depends on CPU,2,0,1,1,0,Wi-Fi 6E,0,0,11/25/2024 21:07,11/25/2024 21:07
